Author;RMSE ;NSE ;R²;MAE;r;MSE
(ADIKARI, K. E. et al. 2021);;1;1;;;
"(ZHU, H.; LEANDRO, J.; LIN, Q. 2021)";1;;;;;
(CUI, Z. et al.2021);1;1;;;1;
(XU, Y. et al. 2021);1;1;;1;;
"(DAZZI, S.; VACONDIO, R.; MIGNOSA, P. 2021)";1;1;;1;1;
"(TABBUSSUM, R.; DAR, A. Q. 2021)";1;1;1;1;;1
"(KAUR, M.; KAUR, P. D.; SOOD, S. K. 2021)";;;;1;;
"(SAHOO, A.; SAMANTARAY, S.; GHOSE, D. K. 2021)";1;;1;;;1
"(HA, S.; LIU, D.; MU, L. 2021)";1;;1;;;
(LINH, N. T. T. et al. 2021);1;1;;1;1;
(NUR ADLI ZAKARIA, M. et al. 2021);1;;1;;;
"(PARVINIZADEH, S.; ZAKERMOSHFEGH, M.; SHAKIBA, M. 2021)";1;;1;;;
"(HOFMANN, J.; SCHÜTTRUMPF, H. 2021)";1;;1;;;
(LI, H. et al.2021);1;1;1;1;;
"(SNIEDER, E.; ABOGADIL, K.; KHAN, U. T. 2021)";;1;;;;1
(SAWAF, M. B. A. et al. 2021);;1;;;;
"(TAMIRU, H.; WAGARI, M. 2021)";;1;1;;;
(TOWFIQUL ISLAM, A. R. M. et al.2021);1;;;1;1;
(WANG, M. et al.2021) ver se vai retirar;1;1;;;;
(AGARWAL, S. et al. 2021);1;;;1;1;
"(JIN, H.; CHEN, X.; ZHONG, R. 2021)";;;1;;;
(GUNATHILAKE, M. B. et al.2021) satélite;;1;1;;;
(LI, F.-F. et al. 2021);1;1;1;1;;
(NUALTONG, K. et al. 2021);1;;;;;
(KATIRAIE-BOROUJERDY, P.-S. et al. 2020)satélite;1;;;;1;
(TIKHAMARINE, Y. et al. 2020);1;1;;1;1;
(SAHA, A. et al. 2020);;;;1;;1
"(YANG, S.-N.; CHANG, L.-C. 2020)";1;1;1;;;
(LV, N. et al.2020);1;;;;;
(LIU, D. et al. 2020);1;;1;;;
(GAO, S. et al. 2020);;1;;1;;1
(KURIAN, C. et al. 2020);1;1;1;1;1;1
(AZROL, M. et al.2020);1;1;;;1;
"(MIAU, S.; HUNG, W.-H. 2020)";;;;;;
(KHAN, T. A. et al 2020);1;1;;;1;
(LIN, Q. et al.2020);;;;;;1
(KAN, G. et al.2020);;1;;;;
(DTISSIBE, F. Y. et al. 2020);1;1;1;;;
"(KIM; HAN, 2020)";;;;1;;
(WANG et al., 2020);1;1;;;1;
(YASEEN et al., 2020);1;1;;;1;
"(XIANG; YAN; DEMIR, 2020)";;1;;;1;
"(AGHELPOUR; VARSHAVIAN, 2020)";1;;1;;;
(ZHOU et al., 2020);;1;;1;;
(CHU et al., 2020);1;;;;;
"(DE LA FUENTE; MERUANE; MERUANE, 2019)";1;1;;;1;
(TAM et al., 2019);1;1;;;1;
(CHEN et al., 2019a);1;;1;1;;
(CHEN et al., 2019b);1;1;;;1;
(BONAKDARI et al., 2019a);1;;1;;;1
(ZELENTSOV et al., 2019);;;;;;
"(ZAJI; BONAKDARI; GHARABAGHI, 2019)";;;1;;1;
"(ZHOU; GUO; CHANG, 2019)";1;1;;;;
"(AHMAD; HOSSAIN, 2019)";;;;;;
(TAYYAB et al., 2019);1;1;;1;1;1
(KHAIRUDDIN et al., 2019);1;;1;;;
"(BERKHAHN; FUCHS; NEUWEILER, 2019)";1;1;;1;1;
"(TIKHAMARINE; SOUAG-GAMANE; KISI, 2019)";1;1;;1;1;
(REN et al., 2019);1;1;1;1;;1
(GHADERI et al., 2019);1;1;1;;;
"(KIM; CHOI; HAN, 2019)";1;1;;;1;
(BONAKDARI et al., 2019b);1;1;1;1;;
(YASEEN et al., 2019);1;;1;1;;
(LE et al., 2019);1;1;;;;
(GOODARZI et al., 2019);;;;;1;
"(BAFITLHILE; LI, 2019)";1;1;1;1;;
